2024-02-27 20:44:32,563 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-02-27 20:44:32,580 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-02-27 20:44:32,581 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-02-27 20:44:32,581 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-02-27 20:44:32,599 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-02-27 20:44:32,600 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-02-27 20:44:32,600 INFO  SwAddin.cs: 201 - Setting up command manager
2024-02-27 20:44:32,601 INFO  SwAddin.cs: 204 - Adding command manager
2024-02-27 20:44:32,602 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-02-27 20:44:32,603 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-02-27 20:44:32,603 INFO  SwAddin.cs: 210 - Adding event handlers
2024-02-27 20:44:32,613 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-02-27 20:50:00,664 INFO  SwAddin.cs: 294 - Assembly export called for file 20240227
2024-02-27 20:50:00,664 INFO  SwAddin.cs: 299 - Save is required
2024-02-27 20:50:00,664 INFO  SwAddin.cs: 313 - Saving assembly
2024-02-27 20:50:00,665 INFO  SwAddin.cs: 316 - Opening property manager
2024-02-27 20:50:00,712 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 20240227
2024-02-27 20:50:00,726 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 20240227
2024-02-27 20:50:00,726 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in 20240227
2024-02-27 20:50:00,727 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-02-27 20:50:00,728 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-02-27 20:50:00,729 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 20240227.STEP-1
2024-02-27 20:50:00,729 INFO  ExportHelperExtension.cs: 1136 - Found 40 in 20240227.STEP-1
2024-02-27 20:50:00,729 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 20240227.STEP-1
2024-02-27 20:50:00,729 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 20240227
2024-02-27 20:50:00,730 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 20240227
2024-02-27 20:50:00,730 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 20240227
2024-02-27 20:50:00,730 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-02-27 20:50:00,730 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-02-27 20:50:00,731 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 20240227.STEP-1
2024-02-27 20:50:00,731 INFO  ExportHelperExtension.cs: 1136 - Found 40 in 20240227.STEP-1
2024-02-27 20:50:00,731 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 20240227.STEP-1
2024-02-27 20:50:01,018 INFO  SwAddin.cs: 339 - Loading config tree
2024-02-27 20:50:01,021 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-02-27 20:50:01,022 INFO  SwAddin.cs: 344 - Showing property manager
2024-02-27 20:50:03,520 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:50:30,671 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:50:37,752 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:50:50,502 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:50:51,263 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:50:54,458 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:50:55,486 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:02,664 INFO  SwAddin.cs: 294 - Assembly export called for file 20240227
2024-02-27 20:51:02,665 INFO  SwAddin.cs: 299 - Save is required
2024-02-27 20:51:02,665 INFO  SwAddin.cs: 313 - Saving assembly
2024-02-27 20:51:02,665 INFO  SwAddin.cs: 316 - Opening property manager
2024-02-27 20:51:02,665 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 20240227
2024-02-27 20:51:02,665 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 20240227
2024-02-27 20:51:02,666 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in 20240227
2024-02-27 20:51:02,666 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-02-27 20:51:02,666 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-02-27 20:51:02,666 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 20240227.STEP-1
2024-02-27 20:51:02,667 INFO  ExportHelperExtension.cs: 1136 - Found 40 in 20240227.STEP-1
2024-02-27 20:51:02,667 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 20240227.STEP-1
2024-02-27 20:51:02,667 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 20240227
2024-02-27 20:51:02,667 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 20240227
2024-02-27 20:51:02,668 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 20240227
2024-02-27 20:51:02,668 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-02-27 20:51:02,668 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-02-27 20:51:02,668 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 20240227.STEP-1
2024-02-27 20:51:02,668 INFO  ExportHelperExtension.cs: 1136 - Found 40 in 20240227.STEP-1
2024-02-27 20:51:02,668 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 20240227.STEP-1
2024-02-27 20:51:02,716 INFO  SwAddin.cs: 339 - Loading config tree
2024-02-27 20:51:02,716 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-02-27 20:51:02,717 INFO  SwAddin.cs: 344 - Showing property manager
2024-02-27 20:51:09,933 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:09,966 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:17,438 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:19,379 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:30,669 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:31,487 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:33,342 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:42,720 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:51,128 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:52,175 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:51:53,643 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-02-27 20:52:59,592 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2024-02-27 20:53:00,036 INFO  ExportHelperExtension.cs: 347 - Creating joint box1_Link
